registro;retorno;rentabilidade;empresa;tag;tipo;retabilidade_ano;prazo;distribuidor;emissor;meses;
442;6078;1220;Paran  Banco Prefixado 12.2% por Nova Futura Investimentos;FGC;CDB;10.45% a.a.;06/10/2024;Nova Futura Investimentos;Paran  Banco;24;6078
443;6064;10500;Paran  Banco 105% CDI por Guide Investimentos;FGC;CDB;10.13% a.a.;17/10/2024;Guide Investimentos;Paran  Banco;24;6064
444;6053;10600;Paran  Banco 106% CDI por Nova Futura Investimentos;FGC;CDB;10.22% a.a.;06/10/2024;Nova Futura Investimentos;Paran  Banco;24;6053
445;6043;10500;Paran  Banco 105% CDI por Paran  Banco;FGC;CDB;10.12% a.a.;06/10/2024;Paran  Banco;Paran  Banco;24;6043
446;5990;10000;Paran  Banco 100% CDI por Paran  Banco;FGC;CDB;9.64% a.a.;06/10/2024;Paran  Banco;Paran  Banco;24;5990
447;5988;1123;Paran  Banco IPCA + 5.23% por Nova Futura Investimentos;FGC;CDB;9.62% a.a.;06/10/2024;Nova Futura Investimentos;Paran  Banco;24;5988
448;5.524;108.00;Paraná Banco 108% CDI por Paraná Banco;FGC;CDB;10.61% a.a.;13/10/2023;Paraná Banco;Paraná Banco;12;5524
449;5.511;105.00;Paraná Banco 105% CDI por Paraná Banco;FGC;CDB;10.32% a.a.;16/10/2023;Paraná Banco;Paraná Banco;12;5511
450;5.504;103.00;Paraná Banco 103% CDI por Guide Investimentos;FGC;CDB;10.12% a.a.;17/10/2023;Guide Investimentos;Paraná Banco;12;5504
451;5.502;104.00;Paraná Banco 104% CDI por Nova Futura Investimentos;FGC;CDB;10.22% a.a.;12/10/2023;Nova Futura Investimentos;Paraná Banco;12;5502
452;5.487;100.00;Paraná Banco 100% CDI por Paraná Banco;FGC;CDB;9.82% a.a.;16/10/2023;Paraná Banco;Paraná Banco;12;5487
453;5.268;14.01;Paraná Banco Prefixado 14.01% por Ágora Investimentos;FGC;CDB;11.13% a.a.;17/04/2023;Ágora Investimentos;Paraná Banco;6;5268
454;5.268;13.86;Paraná Banco Prefixado 13.86% por Guide Investimentos;FGC;CDB;11.01% a.a.;18/04/2023;Guide Investimentos;Paraná Banco;6;5268
455;5.267;13.96;Paraná Banco Prefixado 13.96% por BTG Pactual;FGC;CDB;11.09% a.a.;17/04/2023;BTG Pactual;Paraná Banco;6;5267
456;5.246;105.00;Paraná Banco 105% CDI por Paraná Banco;FGC;CDB;10.18% a.a.;17/04/2023;Paraná Banco;Paraná Banco;6;5246
457;5.244;105.00;Paraná Banco 105% CDI por Paraná Banco;FGC;CDB;10.18% a.a.;16/04/2023;Paraná Banco;Paraná Banco;6;5244
458;5.239;102.00;Paraná Banco 102% CDI por BTG Pactual;FGC;CDB;9.89% a.a.;17/04/2023;BTG Pactual;Paraná Banco;6;5239
459;5.239;102.00;Paraná Banco 102% CDI por Ágora Investimentos;FGC;CDB;9.89% a.a.;17/04/2023;Ágora Investimentos;Paraná Banco;6;5239
460;5.239;101.00;Paraná Banco 101% CDI por Guide Investimentos;FGC;CDB;9.79% a.a.;18/04/2023;Guide Investimentos;Paraná Banco;6;5239
461;5.234;100.00;Paraná Banco 100% CDI por Paraná Banco;FGC;CDB;9.69% a.a.;17/04/2023;Paraná Banco;Paraná Banco;6;5234
462;5.230;102.00;Paraná Banco 102% CDI por Nova Futura Investimentos;FGC;CDB;9.57% a.a.;15/04/2023;Nova Futura Investimentos;Paraná Banco;6;5230
463;5.513;105.00;Paulista 105% CDI por Guide Investimentos;FGC;CDB;10.32% a.a.;17/10/2023;Guide Investimentos;Paulista;12;5513
464;6129;9500;Paulista 95% CDI por Guide Investimentos;FGC;LCA;10.69% a.a.;19/10/2024;Guide Investimentos;Paulista;24;6129
465;8566;11700;Paulista 117% CDI por Guide Investimentos;FGC;CDB;11.44% a.a.;09/10/2027;Guide Investimentos;Paulista;60;8566
466;5.519;107.00;Pine 107% CDI por Daycoval;FGC;CDB;10.51% a.a.;14/10/2023;Daycoval;Pine;12;5519
